"year","julian","site","bay","temperature"
2015,238,"Laminaria South","Cook Bay",12.7
2015,238,"Middle Cove","Cook Bay",13.6
2015,235,"Back Bay eelgrass","Anton Larson Bay",12.8
2015,234,"Cobble point","Anton Larson Bay",12.1
2015,235,"Cobble point","Anton Larson Bay",12.4
2015,234,"Eelgrass patches","Anton Larson Bay",13.1
2015,235,"Eelgrass patches","Anton Larson Bay",13.2
2015,234,"Eelgrass point","Anton Larson Bay",12.1
2015,235,"Eelgrass point","Anton Larson Bay",12.4
2015,235,"Laminaria #2","Anton Larson Bay",12.6
2015,234,"Laminaria Point","Anton Larson Bay",12
2015,235,"Laminaria Point","Anton Larson Bay",12.3
2015,234,"White rock","Anton Larson Bay",12.6
2015,235,"White rock","Anton Larson Bay",12.3
2015,235,"Wooden boat","Anton Larson Bay",12.7
2016,197,"Bare North","Cook Bay",13.7
2016,197,"Eelgrass North","Cook Bay",14
2016,197,"Eelgrass South","Cook Bay",12.6
2016,197,"Eelgrass West","Cook Bay",15
2016,197,"Laminaria East","Cook Bay",12.9
2016,197,"Laminaria North","Cook Bay",14
2016,197,"Laminaria South","Cook Bay",12.9
2016,197,"Middle Cove","Cook Bay",12.9
2016,198,"Back Bay eelgrass","Anton Larson Bay",13.8
2016,198,"Cobble point","Anton Larson Bay",13.4
2016,198,"Eelgrass patches","Anton Larson Bay",13
2016,198,"Eelgrass point","Anton Larson Bay",12.8
2016,198,"Laminaria #2","Anton Larson Bay",13.4
2016,198,"Laminaria Point","Anton Larson Bay",12.7
2016,198,"White rock","Anton Larson Bay",13.9
2016,198,"Wooden boat","Anton Larson Bay",13.5
2017,196,"Bare North","Cook Bay",10.4
2017,196,"Eelgrass North","Cook Bay",10.6
2017,196,"Eelgrass South","Cook Bay",10.2
2017,196,"Eelgrass West","Cook Bay",11.4
2017,196,"Laminaria East","Cook Bay",10.8
2017,196,"Laminaria North","Cook Bay",10.6
2017,196,"Laminaria South","Cook Bay",10.1
2017,196,"Middle Cove","Cook Bay",10.3
2017,194,"Back Bay eelgrass","Anton Larson Bay",14.1
2017,194,"Cobble point","Anton Larson Bay",11.3
2017,194,"Eelgrass patches","Anton Larson Bay",12.1
2017,194,"Eelgrass point","Anton Larson Bay",10.9
2017,194,"Laminaria #2","Anton Larson Bay",14.1
2017,194,"Laminaria Point","Anton Larson Bay",10.4
2017,194,"White rock","Anton Larson Bay",12.9
2017,194,"Wooden boat","Anton Larson Bay",13.3
2018,199,"Back Bay eelgrass","Anton Larson Bay",11.7
2018,197,"Bare North","Cook Bay",10.3
2018,198,"Bare North","Cook Bay",10
2018,199,"Cobble point","Anton Larson Bay",10.5
2018,197,"Eelgrass North","Cook Bay",10
2018,198,"Eelgrass North","Cook Bay",11.1
2018,199,"Eelgrass patches","Anton Larson Bay",11.4
2018,199,"Eelgrass point","Anton Larson Bay",12.4
2018,197,"Eelgrass South","Cook Bay",10.9
2018,198,"Eelgrass South","Cook Bay",10
2018,197,"Eelgrass West","Cook Bay",11.5
2018,198,"Eelgrass West","Cook Bay",12.7
2018,199,"Laminaria #2","Anton Larson Bay",12.1
2018,197,"Laminaria East","Cook Bay",9.8
2018,198,"Laminaria East","Cook Bay",10.2
2018,197,"Laminaria North","Cook Bay",9.8
2018,198,"Laminaria North","Cook Bay",10.4
2018,199,"Laminaria Point","Anton Larson Bay",11.6
2018,197,"Laminaria South","Cook Bay",10.4
2018,198,"Laminaria South","Cook Bay",10.3
2018,197,"Middle Cove","Cook Bay",9.7
2018,198,"Middle Cove","Cook Bay",10.3
2018,199,"White rock","Anton Larson Bay",11.9
2018,199,"Wooden boat","Anton Larson Bay",11.8
2018,196,"Back Bay eelgrass","Anton Larson Bay",11.3
2018,196,"Cobble point","Anton Larson Bay",10
2018,196,"Eelgrass patches","Anton Larson Bay",10
2018,196,"Eelgrass point","Anton Larson Bay",9.9
2018,196,"Laminaria #2","Anton Larson Bay",10.6
2018,196,"Laminaria Point","Anton Larson Bay",10.1
2018,196,"White rock","Anton Larson Bay",10.5
2018,196,"Wooden boat","Anton Larson Bay",10.8
2019,193,"Middle Cove","Cook Bay",11.8
2019,193,"Bare North","Cook Bay",12.3
2019,193,"Eelgrass North","Cook Bay",13.2
2019,193,"Laminaria North","Cook Bay",13.7
2019,193,"Eelgrass West","Cook Bay",13.6
2019,193,"Laminaria South","Cook Bay",12.4
2019,193,"Laminaria East","Cook Bay",11.8
2019,193,"Eelgrass South","Cook Bay",12.1
2019,194,"Laminaria #2","Anton Larson Bay",13.6
2019,194,"Wooden boat","Anton Larson Bay",12.1
2019,194,"Back Bay eelgrass","Anton Larson Bay",12.6
2019,194,"Laminaria Point","Anton Larson Bay",12.4
2019,194,"Eelgrass point","Anton Larson Bay",12.3
2019,194,"Eelgrass patches","Anton Larson Bay",13.3
2019,194,"Cobble point","Anton Larson Bay",12.8
2019,194,"White rock","Anton Larson Bay",13.5
2019,195,"Laminaria #2","Anton Larson Bay",11.4
2019,195,"Wooden boat","Anton Larson Bay",11
2019,195,"Back Bay eelgrass","Anton Larson Bay",12
2019,195,"Laminaria Point","Anton Larson Bay",12.6
2019,195,"Eelgrass patches","Anton Larson Bay",12.4
2019,195,"Eelgrass point","Anton Larson Bay",12.4
2019,195,"Cobble point","Anton Larson Bay",12.5
2019,195,"White rock","Anton Larson Bay",12.7
2019,196,"Laminaria South","Cook Bay",11.2
2019,196,"Eelgrass South","Cook Bay",11.1
2019,196,"Laminaria East","Cook Bay",11.4
2019,196,"Eelgrass West","Cook Bay",11.6
2019,196,"Laminaria North","Cook Bay",11.6
2019,196,"Eelgrass North","Cook Bay",11.8
2019,196,"Bare North","Cook Bay",11.8
2019,196,"Middle Cove","Cook Bay",11.5
2019,232,"Middle Cove","Cook Bay",13.7
2019,232,"Bare North","Cook Bay",13.7
2019,232,"Laminaria North","Cook Bay",13.8
2019,232,"Eelgrass North","Cook Bay",13.9
2019,232,"Laminaria East","Cook Bay",13.6
2019,232,"Eelgrass West","Cook Bay",13.6
2019,232,"Laminaria South","Cook Bay",13.3
2019,232,"Eelgrass South","Cook Bay",13.4
2019,233,"Middle Cove","Cook Bay",13.2
2019,233,"Bare North","Cook Bay",13.5
2019,233,"Laminaria South","Cook Bay",13.2
2019,233,"Eelgrass South","Cook Bay",13.3
2019,233,"Eelgrass North","Cook Bay",13.6
2019,233,"Laminaria North","Cook Bay",13.5
2019,233,"Laminaria East","Cook Bay",13.4
2019,233,"Eelgrass West","Cook Bay",14
2019,236,"White rock","Anton Larson Bay",15
2019,236,"Back Bay eelgrass","Anton Larson Bay",13.9
2019,236,"Wooden boat","Anton Larson Bay",13.8
2019,236,"Laminaria #2","Anton Larson Bay",13.9
2019,236,"Eelgrass patches","Anton Larson Bay",14.8
2019,236,"Cobble point","Anton Larson Bay",14.3
2019,236,"Laminaria Point","Anton Larson Bay",14.5
2019,236,"Eelgrass point","Anton Larson Bay",14.6
2019,237,"White rock","Anton Larson Bay",14
